Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-29,JNJ,153.925,154.204,149.3,149.771,37380700,0.0,0.0
2023-10-06,JNJ,149.454,152.223,147.434,151.589,29750100,0.0,0.0
2023-10-13,JNJ,151.146,153.156,149.117,150.829,27762700,0.0,0.0
2023-10-20,JNJ,151.762,152.848,144.386,147.127,42690200,0.0,0.0
2023-10-27,JNJ,146.992,147.607,139.386,140.011,36908400,0.0,0.0
2023-11-03,JNJ,140.482,146.425,140.395,145.53,31789800,0.0,0.0
2023-11-10,JNJ,145.953,146.578,140.049,141.597,29056100,0.0,0.0
2023-11-17,JNJ,141.597,145.001,141.02,144.04,33230900,0.0,0.0
2023-11-24,JNJ,143.371,147.995,143.012,147.82,22752900,1.19,0.0
2023-12-01,JNJ,147.617,153.597,146.211,153.52,40373100,0.0,0.0
2023-12-08,JNJ,153.151,155.109,149.119,149.681,35617500,0.0,0.0
2023-12-15,JNJ,149.759,152.337,147.113,150.399,53132600,0.0,0.0
2023-12-22,JNJ,150.447,151.853,148.411,150.689,29288300,0.0,0.0
2023-12-29,JNJ,150.243,152.415,150.098,151.93,18146700,0.0,0.0
2024-01-05,JNJ,152.114,157.009,151.979,156.185,30223200,0.0,0.0
2024-01-12,JNJ,156.156,158.269,154.712,157.407,27314400,0.0,0.0
2024-01-19,JNJ,156.612,157.271,154.79,156.718,24419600,0.0,0.0
2024-01-26,JNJ,157.029,158.56,152.095,154.605,34292700,0.0,0.0
2024-02-02,JNJ,154.13,155.691,151.155,151.804,38248000,0.0,0.0
2024-02-09,JNJ,151.804,154.479,150.544,151.949,43326000,0.0,0.0
2024-02-16,JNJ,151.775,153.617,150.088,152.898,40424500,1.19,0.0
2024-02-23,JNJ,152.908,158.465,152.791,158.065,31766000,0.0,0.0
2024-03-01,JNJ,158.026,158.778,155.916,158.338,32132200,0.0,0.0
2024-03-08,JNJ,157.557,157.84,154.549,155.799,33076700,0.0,0.0
2024-03-15,JNJ,155.769,159.305,153.435,154.49,39053300,0.0,0.0
2024-03-22,JNJ,154.871,154.988,151.482,151.609,33586400,0.0,0.0
2024-03-29,JNJ,151.775,155.428,151.15,154.5,29005300,0.0,0.0
2024-04-05,JNJ,154.041,154.461,148.073,148.835,32290700,0.0,0.0
2024-04-12,JNJ,148.444,149.47,143.717,144.079,34352400,0.0,0.0
2024-04-19,JNJ,144.909,146.003,139.791,144.46,50290700,0.0,0.0
2024-04-26,JNJ,145.046,146.979,142.545,142.731,43811100,0.0,0.0
2024-05-03,JNJ,142.731,148.776,141.158,145.788,44430700,0.0,0.0
2024-05-10,JNJ,146.374,146.598,144.46,146.413,32368200,0.0,0.0
2024-05-17,JNJ,146.54,151.247,146.218,151.033,33543500,0.0,0.0
2024-05-24,JNJ,150.737,151.702,144.495,144.702,37361900,1.24,0.0
2024-05-31,JNJ,144.525,145.204,141.492,144.406,41875900,0.0,0.0
2024-06-07,JNJ,144.977,146.602,142.427,144.81,32224800,0.0,0.0
2024-06-14,JNJ,144.269,145.283,141.66,143.294,28508700,0.0,0.0
2024-06-21,JNJ,142.782,146.779,142.506,146.454,36749800,0.0,0.0
2024-06-28,JNJ,146.7,147.409,142.605,143.904,35037700,0.0,0.0
2024-07-05,JNJ,143.816,146.405,142.27,144.219,18771100,0.0,0.0
2024-07-12,JNJ,144.141,148.551,142.939,147.567,28930600,0.0,0.0
2024-07-19,JNJ,147.764,155.059,146.572,152.303,44546600,0.0,0.0
2024-07-26,JNJ,152.381,159.086,149.231,158.161,38647200,0.0,0.0
2024-08-02,JNJ,157.501,162.306,155.276,161.607,38957700,0.0,0.0
2024-08-09,JNJ,161.262,163.222,155.591,158.141,35306300,0.0,0.0
2024-08-16,JNJ,158.486,159.204,154.026,156.93,34708600,0.0,0.0
2024-08-23,JNJ,156.999,161.686,156.674,161.597,30348400,0.0,0.0
2024-08-30,JNJ,161.636,164.659,160.869,164.54,31807400,1.24,0.0
2024-09-06,JNJ,163.925,167.506,162.814,163.072,24512900,0.0,0.0
2024-09-13,JNJ,163.528,167.119,161.415,164.202,28252300,0.0,0.0
2024-09-20,JNJ,165.036,167.01,162.248,162.853,31772200,0.0,0.0
